IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR3783PEMO6,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO5,0,9092526,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO5,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO4,0,9092526,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO4,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO3,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO3,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO2,0,9046568,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO2,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO1,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3783PEMO1,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO3,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO2,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3779PEMO1,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO3,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO2,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO1,0,9104395,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3775PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO9,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO9,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO8,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO8,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO7,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO7,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO6,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO6,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO5,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO5,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO4,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO4,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO3,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO3,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO2,0,9084512,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO2,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO11,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO11,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO10,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO10,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO1,0,9063587,1,ITEMSET1
IKO-CAD,GI,GIR3725PEMO1,0,9084510,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO3,0,9046571,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO3,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO3,0,9046581,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO3,0,9048684,1,ITEMSET1
